time,temp,prcp,wspd,rhum,pres,temp_rolling_avg_7,prcp_rolling_avg_7,wspd_rolling_avg_7,rhum_rolling_avg_7,pres_rolling_avg_7
2021-01-01 14:00:00,8.7,0.0,9.0,60.0,1019.3,,,,,
2021-01-01 15:00:00,6.0,0.0,8.6,72.0,1020.0,,,,,
2021-01-01 16:00:00,5.0,0.0,9.0,75.0,1020.4,,,,,
2021-01-01 17:00:00,3.7,0.0,9.0,79.0,1020.9,,,,,
2021-01-01 18:00:00,4.1,0.0,7.2,78.0,1021.5,,,,,
2021-01-01 19:00:00,4.6,0.0,4.7,76.0,1022.1,,,,,
2021-01-01 20:00:00,3.1,0.0,5.8,81.0,1022.4,,,,,
2021-01-01 21:00:00,3.0,0.0,6.5,80.0,1022.4,,,,,
2021-01-01 22:00:00,3.3,0.0,6.1,78.0,1022.7,,,,,
2021-01-01 23:00:00,3.0,0.0,4.3,78.0,1023.2,,,,,
2021-01-02 00:00:00,3.1,0.0,3.2,76.0,1023.8,,,,,
2021-01-02 01:00:00,2.7,0.0,4.7,78.0,1024.2,,,,,
2021-01-02 02:00:00,3.5,0.0,4.3,78.0,1024.2,,,,,
2021-01-02 03:00:00,3.0,0.0,4.3,80.0,1024.5,,,,,
2021-01-02 04:00:00,2.2,0.0,5.4,83.0,1024.9,,,,,
2021-01-02 05:00:00,2.0,0.0,5.8,84.0,1025.3,,,,,
2021-01-02 06:00:00,2.8,0.0,4.7,86.0,1026.0,,,,,
2021-01-02 07:00:00,6.0,0.0,5.4,76.0,1026.3,,,,,
2021-01-02 08:00:00,8.6,0.0,4.0,68.0,1026.2,,,,,
2021-01-02 09:00:00,10.2,0.0,1.4,61.0,1025.3,,,,,
2021-01-02 10:00:00,11.2,0.0,1.1,56.0,1024.4,,,,,
2021-01-02 11:00:00,11.4,0.0,2.9,55.0,1023.8,,,,,
2021-01-02 12:00:00,11.6,0.0,4.0,54.0,1023.6,,,,,
2021-01-02 13:00:00,11.4,0.0,4.3,55.0,1023.8,,,,,
2021-01-02 14:00:00,9.4,0.0,4.7,70.0,1023.9,,,,,
2021-01-02 15:00:00,6.3,0.0,6.8,78.0,1024.3,,,,,
2021-01-02 16:00:00,5.2,0.0,6.8,82.0,1024.8,,,,,
2021-01-02 17:00:00,4.1,0.0,6.5,84.0,1025.1,,,,,
2021-01-02 18:00:00,3.2,0.0,6.8,85.0,1025.4,,,,,
2021-01-02 19:00:00,2.5,0.0,6.8,86.0,1025.7,,,,,
2021-01-02 20:00:00,2.2,0.0,7.2,86.0,1025.6,,,,,
2021-01-02 21:00:00,0.8,0.0,6.5,86.0,1026.3,,,,,
2021-01-02 22:00:00,0.7,0.0,6.8,86.0,1026.0,,,,,
2021-01-02 23:00:00,0.6,0.0,7.2,85.0,1026.1,,,,,
2021-01-03 00:00:00,0.6,0.0,7.9,84.0,1026.0,,,,,
2021-01-03 01:00:00,0.5,0.0,7.9,84.0,1025.9,,,,,
2021-01-03 02:00:00,0.2,0.0,7.9,83.0,1025.9,,,,,
2021-01-03 03:00:00,0.4,0.0,7.9,83.0,1025.8,,,,,
2021-01-03 04:00:00,0.4,0.0,7.9,83.0,1025.7,,,,,
2021-01-03 05:00:00,-0.1,0.0,7.9,83.0,1026.1,,,,,
2021-01-03 06:00:00,2.0,0.0,6.5,79.0,1026.4,,,,,
2021-01-03 07:00:00,5.5,0.0,8.3,67.0,1026.5,,,,,
2021-01-03 08:00:00,8.3,0.0,7.2,56.0,1026.1,,,,,
2021-01-03 09:00:00,10.1,0.0,7.6,49.0,1025.0,,,,,
2021-01-03 10:00:00,11.1,0.0,5.4,46.0,1023.7,,,,,
2021-01-03 11:00:00,11.5,0.0,4.3,45.0,1023.1,,,,,
2021-01-03 12:00:00,11.3,0.0,4.7,45.0,1023.0,,,,,
2021-01-03 13:00:00,10.9,0.0,5.0,48.0,1023.1,,,,,
2021-01-03 14:00:00,8.1,0.0,7.6,61.0,1023.1,,,,,
2021-01-03 15:00:00,4.8,0.0,7.9,73.0,1023.6,,,,,
2021-01-03 16:00:00,1.7,0.0,8.3,83.0,1024.6,,,,,
2021-01-03 17:00:00,1.4,0.0,7.2,84.0,1024.9,,,,,
2021-01-03 18:00:00,1.5,0.0,6.5,85.0,1024.8,,,,,
2021-01-03 19:00:00,1.6,0.0,5.8,86.0,1024.8,,,,,
2021-01-03 20:00:00,1.4,0.0,5.4,87.0,1024.7,,,,,
2021-01-03 21:00:00,1.2,0.0,5.8,86.0,1024.5,,,,,
2021-01-03 22:00:00,0.0,0.0,6.8,87.0,1024.4,,,,,
2021-01-03 23:00:00,0.3,0.0,5.4,85.0,1024.5,,,,,
2021-01-04 00:00:00,0.1,0.0,5.4,85.0,1024.5,,,,,
2021-01-04 01:00:00,0.2,0.0,5.8,86.0,1024.3,,,,,
2021-01-04 02:00:00,0.6,0.0,5.0,81.0,1024.1,,,,,
2021-01-04 03:00:00,1.1,0.0,5.0,79.0,1023.9,,,,,
2021-01-04 04:00:00,1.3,0.0,4.3,77.0,1024.1,,,,,
2021-01-04 05:00:00,1.6,0.0,3.6,76.0,1024.4,,,,,
2021-01-04 06:00:00,2.1,0.0,3.6,79.0,1024.4,,,,,
2021-01-04 07:00:00,5.2,0.0,6.5,69.0,1023.8,,,,,
2021-01-04 08:00:00,8.1,0.0,4.3,58.0,1023.4,,,,,
2021-01-04 09:00:00,9.6,0.0,5.0,54.0,1022.5,,,,,
2021-01-04 10:00:00,10.8,0.0,6.8,51.0,1021.0,,,,,
2021-01-04 11:00:00,11.0,0.0,7.2,52.0,1020.0,,,,,
2021-01-04 12:00:00,11.4,0.0,9.0,51.0,1019.8,,,,,
2021-01-04 13:00:00,11.0,0.0,9.4,52.0,1019.9,,,,,
2021-01-04 14:00:00,8.0,0.0,6.8,64.0,1020.1,,,,,
2021-01-04 15:00:00,5.0,0.0,8.6,77.0,1019.9,,,,,
2021-01-04 16:00:00,4.0,0.0,8.3,79.0,1019.8,,,,,
2021-01-04 17:00:00,3.3,0.0,7.9,80.0,1019.8,,,,,
2021-01-04 18:00:00,3.1,0.0,7.9,80.0,1019.6,,,,,
2021-01-04 19:00:00,3.5,0.0,7.9,79.0,1019.3,,,,,
2021-01-04 20:00:00,3.9,0.0,7.2,78.0,1019.0,,,,,
2021-01-04 21:00:00,3.0,0.0,7.2,82.0,1019.8,,,,,
2021-01-04 22:00:00,2.1,0.0,7.9,83.0,1019.3,,,,,
2021-01-04 23:00:00,2.0,0.0,7.6,83.0,1019.2,,,,,
2021-01-05 00:00:00,2.2,0.0,8.3,83.0,1019.1,,,,,
2021-01-05 01:00:00,2.4,0.0,7.2,82.0,1019.1,,,,,
2021-01-05 02:00:00,2.0,0.0,7.2,83.0,1019.2,,,,,
2021-01-05 03:00:00,1.5,0.0,7.2,85.0,1019.4,,,,,
2021-01-05 04:00:00,1.3,0.0,7.6,85.0,1019.5,,,,,
2021-01-05 05:00:00,1.3,0.0,7.6,85.0,1020.0,,,,,
2021-01-05 06:00:00,3.5,0.0,5.8,81.0,1020.0,,,,,
2021-01-05 07:00:00,6.2,0.1,6.5,72.0,1020.0,,,,,
2021-01-05 08:00:00,7.5,0.0,8.6,68.0,1020.4,,,,,
2021-01-05 09:00:00,8.6,0.0,11.2,64.0,1019.7,,,,,
2021-01-05 10:00:00,9.0,0.6,13.0,64.0,1019.2,,,,,
2021-01-05 11:00:00,8.6,0.5,9.0,73.0,1018.4,,,,,
2021-01-05 12:00:00,8.7,0.3,9.7,76.0,1018.3,,,,,
2021-01-05 13:00:00,8.6,0.3,12.6,75.0,1018.3,,,,,
2021-01-05 14:00:00,7.2,0.3,9.4,81.0,1018.8,,,,,
2021-01-05 15:00:00,5.2,0.4,5.0,92.0,1019.9,,,,,
2021-01-05 16:00:00,5.5,0.4,5.0,92.0,1020.3,,,,,
2021-01-05 17:00:00,5.4,0.1,6.8,91.0,1020.2,,,,,
2021-01-05 18:00:00,5.5,0.0,7.9,88.0,1020.3,,,,,
2021-01-05 19:00:00,5.4,0.0,8.3,89.0,1020.8,,,,,
2021-01-05 20:00:00,5.1,0.0,8.3,89.0,1021.4,,,,,
2021-01-05 21:00:00,3.8,0.0,8.6,90.0,1021.8,,,,,
2021-01-05 22:00:00,4.0,0.0,7.2,90.0,1022.2,,,,,
2021-01-05 23:00:00,5.3,0.0,1.8,84.0,1023.3,,,,,
2021-01-06 00:00:00,4.2,0.0,2.9,87.0,1024.0,,,,,
2021-01-06 01:00:00,2.7,0.0,4.3,90.0,1024.3,,,,,
2021-01-06 02:00:00,3.3,0.0,4.0,89.0,1024.6,,,,,
2021-01-06 03:00:00,2.7,0.0,3.6,91.0,1025.0,,,,,
2021-01-06 04:00:00,1.8,0.0,4.3,93.0,1025.2,,,,,
2021-01-06 05:00:00,1.3,0.0,5.0,95.0,1025.5,,,,,
2021-01-06 06:00:00,2.3,0.0,3.6,95.0,1025.8,,,,,
2021-01-06 07:00:00,4.4,0.0,6.8,93.0,1026.4,,,,,
2021-01-06 08:00:00,6.8,0.0,4.0,85.0,1026.3,,,,,
2021-01-06 09:00:00,8.5,0.0,3.2,70.0,1025.9,,,,,
2021-01-06 10:00:00,9.6,0.0,5.8,60.0,1025.2,,,,,
2021-01-06 11:00:00,10.0,0.0,6.1,57.0,1024.8,,,,,
2021-01-06 12:00:00,9.9,0.0,6.1,58.0,1024.6,,,,,
2021-01-06 13:00:00,9.6,0.0,6.1,62.0,1024.6,,,,,
2021-01-06 14:00:00,8.3,0.0,5.8,71.0,1024.3,,,,,
2021-01-06 15:00:00,6.4,0.0,8.3,79.0,1024.0,,,,,
2021-01-06 16:00:00,4.9,0.0,7.9,87.0,1024.7,,,,,
2021-01-06 17:00:00,3.3,0.0,8.3,91.0,1024.8,,,,,
2021-01-06 18:00:00,3.3,0.0,7.9,90.0,1024.8,,,,,
2021-01-06 19:00:00,4.3,0.0,6.8,87.0,1024.9,,,,,
2021-01-06 20:00:00,3.2,0.0,5.8,88.0,1024.5,,,,,
2021-01-06 21:00:00,1.6,0.0,5.8,91.0,1024.6,,,,,
2021-01-06 22:00:00,0.8,0.0,6.8,94.0,1024.2,,,,,
2021-01-06 23:00:00,0.4,0.0,6.1,95.0,1024.2,,,,,
2021-01-07 00:00:00,0.0,0.0,6.5,95.0,1024.3,,,,,
2021-01-07 01:00:00,0.2,0.0,6.5,95.0,1023.8,,,,,
2021-01-07 02:00:00,0.8,0.0,5.4,95.0,1024.2,,,,,
2021-01-07 03:00:00,0.4,0.0,6.8,96.0,1024.2,,,,,
2021-01-07 04:00:00,0.6,0.0,6.1,97.0,1024.3,,,,,
2021-01-07 05:00:00,0.6,0.0,6.8,98.0,1024.2,,,,,
2021-01-07 06:00:00,2.3,0.0,4.0,97.0,1024.5,,,,,
2021-01-07 07:00:00,4.4,0.0,5.4,93.0,1025.6,,,,,
2021-01-07 08:00:00,5.7,0.0,6.5,89.0,1025.5,,,,,
2021-01-07 09:00:00,7.1,0.0,6.8,82.0,1024.4,,,,,
2021-01-07 10:00:00,8.6,0.0,7.9,73.0,1022.7,,,,,
2021-01-07 11:00:00,9.7,0.0,7.9,68.0,1021.3,,,,,
2021-01-07 12:00:00,10.4,0.0,7.6,66.0,1020.5,,,,,
2021-01-07 13:00:00,10.6,0.0,5.8,67.0,1020.3,,,,,
2021-01-07 14:00:00,9.2,0.0,3.6,74.0,1020.0,,,,,
2021-01-07 15:00:00,7.6,0.0,3.6,79.0,1020.4,,,,,
2021-01-07 16:00:00,7.0,0.0,2.9,80.0,1020.8,,,,,
2021-01-07 17:00:00,6.9,0.0,1.8,79.0,1021.7,,,,,
2021-01-07 18:00:00,5.4,0.0,4.0,85.0,1022.3,,,,,
2021-01-07 19:00:00,3.7,0.0,5.8,88.0,1022.4,,,,,
2021-01-07 20:00:00,3.5,0.0,6.5,87.0,1022.2,,,,,
2021-01-07 21:00:00,4.4,0.0,5.4,84.0,1021.8,,,,,
2021-01-07 22:00:00,4.1,0.0,5.0,85.0,1021.9,,,,,
2021-01-07 23:00:00,4.0,0.0,5.4,85.0,1021.5,,,,,
2021-01-08 00:00:00,3.8,0.0,5.0,86.0,1021.5,,,,,
2021-01-08 01:00:00,2.6,0.0,5.4,87.0,1021.3,,,,,
2021-01-08 02:00:00,2.1,0.0,6.1,88.0,1020.8,,,,,
2021-01-08 03:00:00,3.9,0.0,5.0,87.0,1020.4,,,,,
2021-01-08 04:00:00,5.1,0.0,5.4,82.0,1020.2,,,,,
2021-01-08 05:00:00,3.9,0.0,6.1,83.0,1020.4,,,,,
2021-01-08 06:00:00,5.0,0.0,4.7,84.0,1020.8,,,,,
2021-01-08 07:00:00,6.9,0.0,6.1,77.0,1021.0,,,,,
2021-01-08 08:00:00,8.6,0.0,5.4,70.0,1021.4,,,,,
2021-01-08 09:00:00,10.1,0.0,7.2,65.0,1020.4,,,,,
2021-01-08 10:00:00,11.4,0.0,10.1,60.0,1018.7,,,,,
2021-01-08 11:00:00,12.3,0.0,12.6,58.0,1017.5,,,,,
2021-01-08 12:00:00,12.7,0.0,12.2,57.0,1017.0,,,,,
2021-01-08 13:00:00,12.9,0.0,12.2,57.0,1016.7,4.951190476190476,0.017857142857142856,6.402976190476191,77.97619047619048,1022.7750000000001
2021-01-08 14:00:00,10.7,0.0,7.6,68.0,1016.8,4.963095238095238,0.017857142857142856,6.394642857142857,78.02380952380952,1022.7601190476191
2021-01-08 15:00:00,7.4,0.0,7.9,79.0,1017.5,4.971428571428571,0.017857142857142856,6.390476190476191,78.06547619047619,1022.7452380952382
2021-01-08 16:00:00,8.1,0.0,7.6,74.0,1017.7,4.989880952380952,0.017857142857142856,6.382142857142857,78.05952380952381,1022.7291666666666
2021-01-08 17:00:00,7.5,0.0,9.4,77.0,1017.7,5.0125,0.017857142857142856,6.38452380952381,78.04761904761905,1022.710119047619
2021-01-08 18:00:00,6.4,0.0,10.1,80.0,1017.9,5.026190476190476,0.017857142857142856,6.401785714285714,78.05952380952381,1022.6886904761903
2021-01-08 19:00:00,6.0,0.0,11.5,81.0,1018.1,5.034523809523809,0.017857142857142856,6.442261904761905,78.08928571428571,1022.6648809523808
2021-01-08 20:00:00,5.4,0.0,11.2,83.0,1018.3,5.048214285714285,0.017857142857142856,6.474404761904762,78.10119047619048,1022.6404761904762
2021-01-08 21:00:00,5.2,0.0,10.4,83.0,1018.4,5.061309523809523,0.017857142857142856,6.4976190476190485,78.11904761904762,1022.6166666666667
2021-01-08 22:00:00,5.3,0.0,9.4,83.0,1018.6,5.073214285714285,0.017857142857142856,6.517261904761904,78.14880952380952,1022.5922619047619
2021-01-08 23:00:00,5.0,0.0,9.7,85.0,1018.6,5.085119047619047,0.017857142857142856,6.5494047619047615,78.19047619047619,1022.5648809523809
2021-01-09 00:00:00,4.3,0.0,10.4,86.0,1019.0,5.092261904761905,0.017857142857142856,6.592261904761905,78.25,1022.5363095238093
2021-01-09 01:00:00,4.0,0.0,9.7,87.0,1019.2,5.1000000000000005,0.017857142857142856,6.622023809523809,78.30357142857143,1022.5065476190476
2021-01-09 02:00:00,4.2,0.0,10.4,88.0,1018.5,5.104166666666667,0.017857142857142856,6.658333333333333,78.36309523809524,1022.472619047619
2021-01-09 03:00:00,4.2,0.0,10.1,88.0,1018.3,5.111309523809524,0.017857142857142856,6.692857142857142,78.41071428571429,1022.4357142857142
2021-01-09 04:00:00,4.7,0.0,9.0,87.0,1019.0,5.126190476190477,0.017857142857142856,6.714285714285714,78.43452380952381,1022.4005952380952
